PairNames,ListedYear,PublicationYear,Group,PubDiff
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1973,Amphibians/Reptiles,-8
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1974,Amphibians/Reptiles,-4
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1975,Amphibians/Reptiles,-7
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1976,Amphibians/Reptiles,-8
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1977,Amphibians/Reptiles,-7
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1978,Amphibians/Reptiles,-5
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1979,Amphibians/Reptiles,-6
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1980,Amphibians/Reptiles,-9
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1981,Amphibians/Reptiles,-7
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1982,Amphibians/Reptiles,-10
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1983,Amphibians/Reptiles,-14
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1984,Amphibians/Reptiles,-7
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1985,Amphibians/Reptiles,-10
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1986,Amphibians/Reptiles,-9
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1987,Amphibians/Reptiles,-11
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1988,Amphibians/Reptiles,-12
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1989,Amphibians/Reptiles,-17
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1990,Amphibians/Reptiles,-13
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1991,Amphibians/Reptiles,-13
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1992,Amphibians/Reptiles,-10
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1993,Amphibians/Reptiles,-10
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1994,Amphibians/Reptiles,-14
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1995,Amphibians/Reptiles,-16
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1996,Amphibians/Reptiles,-12
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1997,Amphibians/Reptiles,-19
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1998,Amphibians/Reptiles,-21
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,1999,Amphibians/Reptiles,-13
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2000,Amphibians/Reptiles,-27
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2001,Amphibians/Reptiles,-20
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2002,Amphibians/Reptiles,-17
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2003,Amphibians/Reptiles,-21
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2004,Amphibians/Reptiles,-27
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2005,Amphibians/Reptiles,-20
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2006,Amphibians/Reptiles,-25
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2007,Amphibians/Reptiles,-30
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2008,Amphibians/Reptiles,-27
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2009,Amphibians/Reptiles,-16
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2010,Amphibians/Reptiles,-35
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2011,Amphibians/Reptiles,-19
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2012,Amphibians/Reptiles,-11
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2013,Amphibians/Reptiles,-32
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2014,Amphibians/Reptiles,-29
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2015,Amphibians/Reptiles,-30
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2016,Amphibians/Reptiles,-24
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2017,Amphibians/Reptiles,-41
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2018,Amphibians/Reptiles,-32
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2019,Amphibians/Reptiles,-32
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2020,Amphibians/Reptiles,-25
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2021,Amphibians/Reptiles,-31
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2022,Amphibians/Reptiles,-20
Alabama Red-bellied Turtle (L) Painted Turtle (NL),1987,2023,Amphibians/Reptiles,-26
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1973,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1974,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1975,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1976,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1977,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1978,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1979,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1980,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1981,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1982,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1983,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1984,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1985,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1986,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1987,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1988,Invertebrates,1
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1989,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1990,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1991,Invertebrates,1
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1992,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1993,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1994,Invertebrates,1
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1995,Invertebrates,1
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1996,Invertebrates,1
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1997,Invertebrates,2
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1998,Invertebrates,2
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,1999,Invertebrates,4
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2000,Invertebrates,1
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2001,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2002,Invertebrates,2
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2003,Invertebrates,1
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2004,Invertebrates,1
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2005,Invertebrates,1
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2006,Invertebrates,2
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2007,Invertebrates,1
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2008,Invertebrates,2
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2009,Invertebrates,0
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2010,Invertebrates,2
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2011,Invertebrates,3
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2012,Invertebrates,3
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2013,Invertebrates,2
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2014,Invertebrates,5
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2015,Invertebrates,2
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2016,Invertebrates,2
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2017,Invertebrates,4
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2018,Invertebrates,1
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2019,Invertebrates,3
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2020,Invertebrates,1
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2021,Invertebrates,2
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2022,Invertebrates,1
American Burying Beetle (L) Carolina Burying Beetle (NL),1989,2023,Invertebrates,0
Apache Trout (L) Mexican Golden Trout (NL),1973,2023,Fish,1
Apache Trout (L) Mexican Golden Trout (NL),1973,2022,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,2021,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,2020,Fish,-2
Apache Trout (L) Mexican Golden Trout (NL),1973,2019,Fish,1
Apache Trout (L) Mexican Golden Trout (NL),1973,2018,Fish,-1
Apache Trout (L) Mexican Golden Trout (NL),1973,2017,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,2016,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,2015,Fish,-1
Apache Trout (L) Mexican Golden Trout (NL),1973,2014,Fish,1
Apache Trout (L) Mexican Golden Trout (NL),1973,2013,Fish,1
Apache Trout (L) Mexican Golden Trout (NL),1973,2012,Fish,1
Apache Trout (L) Mexican Golden Trout (NL),1973,2011,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,2010,Fish,2
Apache Trout (L) Mexican Golden Trout (NL),1973,2009,Fish,1
Apache Trout (L) Mexican Golden Trout (NL),1973,2008,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,2007,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,2006,Fish,2
Apache Trout (L) Mexican Golden Trout (NL),1973,2005,Fish,2
Apache Trout (L) Mexican Golden Trout (NL),1973,2004,Fish,2
Apache Trout (L) Mexican Golden Trout (NL),1973,2003,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,2002,Fish,1
Apache Trout (L) Mexican Golden Trout (NL),1973,2001,Fish,1
Apache Trout (L) Mexican Golden Trout (NL),1973,2000,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,1999,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,1998,Fish,2
Apache Trout (L) Mexican Golden Trout (NL),1973,1997,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,1996,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,1995,Fish,2
Apache Trout (L) Mexican Golden Trout (NL),1973,1994,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,1993,Fish,1
Apache Trout (L) Mexican Golden Trout (NL),1973,1992,Fish,1
Apache Trout (L) Mexican Golden Trout (NL),1973,1991,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,1990,Fish,1
Apache Trout (L) Mexican Golden Trout (NL),1973,1989,Fish,1
Apache Trout (L) Mexican Golden Trout (NL),1973,1988,Fish,1
Apache Trout (L) Mexican Golden Trout (NL),1973,1987,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,1986,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,1985,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,1984,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,1983,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,1982,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,1981,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,1980,Fish,1
Apache Trout (L) Mexican Golden Trout (NL),1973,1979,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,1978,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,1977,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,1976,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,1975,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,1974,Fish,0
Apache Trout (L) Mexican Golden Trout (NL),1973,1973,Fish,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1973,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1974,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1975,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1976,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1977,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1978,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1979,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1980,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1981,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1982,Invertebrates,-1
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1983,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1984,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1985,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1986,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1987,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1988,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1989,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1990,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1991,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1992,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1993,Invertebrates,-1
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1994,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1995,Invertebrates,-2
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1996,Invertebrates,-2
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1997,Invertebrates,-1
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1998,Invertebrates,-1
Atlantic Pigtoe (L) Eastern Floater (NL),2021,1999,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2000,Invertebrates,-1
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2001,Invertebrates,-2
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2002,Invertebrates,-1
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2003,Invertebrates,-1
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2004,Invertebrates,-1
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2005,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2006,Invertebrates,-1
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2007,Invertebrates,-1
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2008,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2009,Invertebrates,-1
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2010,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2011,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2012,Invertebrates,-3
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2013,Invertebrates,-1
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2014,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2015,Invertebrates,-1
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2016,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2017,Invertebrates,-1
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2018,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2019,Invertebrates,-1
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2020,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2021,Invertebrates,-2
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2022,Invertebrates,0
Atlantic Pigtoe (L) Eastern Floater (NL),2021,2023,Invertebrates,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1973,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1974,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1975,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1976,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1977,Amphibians/Reptiles,-1
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1978,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1979,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1980,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1981,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1982,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1983,Amphibians/Reptiles,-1
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1984,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1985,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1986,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1987,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1988,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1989,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1990,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1991,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1992,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1993,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1994,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1995,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1996,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1997,Amphibians/Reptiles,-2
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1998,Amphibians/Reptiles,0
Austin Blind Salamander (L) Spotted-tailed Salamander (NL),2013,1999,Amphibians/Reptiles,0
